fpr,tpr,thresholds,auc,ews,scale
0.23,0.69,0.3103785103785103,0.7752,Variance,1.0
0.23,0.71,0.2884004884004884,0.7752,Variance,1.0
0.24,0.71,0.2781440781440781,0.7752,Variance,1.0
0.24,0.72,0.2747252747252747,0.7752,Variance,1.0
0.27,0.72,0.2278388278388278,0.7752,Variance,1.0
0.27,0.75,0.1853479853479853,0.7752,Variance,1.0
0.31,0.75,0.1638583638583638,0.7752,Variance,1.0
0.31,0.77,0.1511599511599511,0.7752,Variance,1.0
0.37,0.77,0.0588522588522588,0.7752,Variance,1.0
0.37,0.78,0.0466422466422466,0.7752,Variance,1.0
0.39,0.78,0.0217338217338217,0.7752,Variance,1.0
0.39,0.8,-0.0124542124542124,0.7752,Variance,1.0
0.42,0.8,-0.0451770451770451,0.7752,Variance,1.0
0.43,0.81,-0.0529914529914529,0.7752,Variance,1.0
0.52,0.81,-0.178021978021978,0.7752,Variance,1.0
0.52,0.82,-0.199023199023199,0.7752,Variance,1.0
0.54,0.82,-0.2117216117216117,0.7752,Variance,1.0
0.54,0.83,-0.2141636141636141,0.7752,Variance,1.0
0.56,0.83,-0.221001221001221,0.7752,Variance,1.0
0.56,0.85,-0.2488400488400488,0.7752,Variance,1.0
0.59,0.85,-0.2942612942612942,0.7752,Variance,1.0
0.59,0.86,-0.2957264957264957,0.7752,Variance,1.0
0.61,0.86,-0.305006105006105,0.7752,Variance,1.0
0.61,0.89,-0.3557997557997557,0.7752,Variance,1.0
0.63,0.89,-0.3792429792429792,0.7752,Variance,1.0
0.65,0.89,-0.3963369963369963,0.7752,Variance,1.0
0.65,0.9,-0.41001221001221,0.7752,Variance,1.0
0.66,0.9,-0.4197802197802197,0.7752,Variance,1.0
0.66,0.94,-0.4744810744810744,0.7752,Variance,1.0
0.74,0.94,-0.5389499389499389,0.7752,Variance,1.0
0.74,0.95,-0.5404151404151404,0.7752,Variance,1.0
0.76,0.95,-0.5565323565323566,0.7752,Variance,1.0
0.76,0.97,-0.5794871794871794,0.7752,Variance,1.0
